t_s,hb
3.651667,-0.004029
3.663333,0.003327
3.675,-0.003177
3.686667,0.002859
3.698333,-0.007494
3.71,-0.000323
3.721667,0.001646
3.733333,-0.001135
3.745,0.002397
3.756667,-0.004188
3.768333,0.019844
3.78,0.005648
3.791667,-0.007383
3.803333,0.006689
3.815,-0.00306
3.826667,-0.0018
3.838333,0.019013
3.85,0.002801
3.861667,-0.00432
3.873333,0.003784
3.885,-0.002489
3.896667,0.001081
3.908333,0.001463
3.92,0.000502
3.931667,-0.000622
3.943333,0.00052
3.955,-8e-06
3.966667,-0.000775
3.978333,0.005624
3.99,0.002843
4.001667,-0.003298
4.013333,0.003156
4.025,-0.001622
4.036666,-0.000778
4.048333,0.011066
4.06,0.004426
4.071667,-0.004745
4.083333,0.004069
4.095,-0.001529
4.106667,-0.001069
4.118333,0.010003
4.13,0.001357
4.141666,-0.001788
4.153333,0.001842
4.165,-0.00203
4.176667,0.003687
4.188334,-0.012505
4.2,-0.001293
4.211667,0.003014
4.223333,-0.002595
4.235,0.002382
4.246666,-0.001042
4.258333,-0.000431
4.27,-0.002775
4.281667,0.00154
4.293333,-0.002142
4.305,-0.000969
4.316667,0.004351
4.328333,-0.030295
4.34,-0.014888
4.351666,0.016914
4.363333,-0.013854
4.375,0.005259
4.386667,0.00591
4.398333,-0.051425
4.41,-0.025944
4.421667,0.026339
4.433333,-0.023122
4.445,0.010781
4.456666,-0.000657
4.468333,-0.056427
4.48,-0.087578
4.491667,0.079794
4.503333,-0.063585
4.515,0.03823
4.526667,-0.012622
4.538333,-0.065144
4.55,-0.049577
4.561666,0.045695
4.573333,-0.036533
4.585,0.011486
4.596667,0.015401
4.608333,-0.140485
4.62,0.037122
4.631667,-0.025237
4.643333,0.018614
4.655,-0.023292
4.666667,0.032415
4.678333,-0.099016
4.69,0.006672
4.701667,0.001579
4.713333,-0.004496
4.725,-0.002771
4.736667,0.011718
4.748333,-0.066116
4.76,-0.030486
4.771667,0.032891
4.783333,-0.028545
4.795,0.015346
4.806666,-0.002138
4.818333,-0.052411
4.83,-0.059149
4.841667,0.05596
4.853333,-0.046049
4.865,0.025996
4.876667,-0.009129
4.888333,-0.060528
4.9,-0.115125
4.911666,0.09902
4.923333,-0.078988
4.935,0.046372
4.946667,-0.013939
4.958333,-0.135159
4.97,0.029197
4.981667,-0.019733
4.993333,0.013931
5.005,-0.0163
5.016666,0.019526
5.028333,-0.043424
5.04,0.004121
5.051667,-0.001066
5.063333,0.000405
5.075,-0.006254
5.086667,0.013738
5.098333,-0.063008
5.11,-0.029971
5.121666,0.03028
5.133333,-0.023686
5.145,0.010469
5.156667,0.00427
5.168333,-0.052868
5.18,-0.023063
5.191667,0.023403
5.203333,-0.019487
5.215,0.004864
5.226666,0.010267
5.238333,-0.112569
5.25,-0.023717
5.261667,0.023025
5.273333,-0.020052
5.285,0.00755
5.296667,0.006105
5.308333,-0.06751
5.32,-0.009566
5.331666,0.013393
5.343333,-0.012628
5.355,0.003274
5.366667,0.008057
5.378333,-0.057284
5.39,-0.013079
5.401667,0.015694
5.413333,-0.013046
5.425,0.003106
5.436666,0.009205
5.448333,-0.06621
5.46,-0.017732
5.471667,0.020252
5.483333,-0.017863
5.495,0.006373
5.506667,0.00683
5.518333,-0.068601
5.53,-0.01793
5.541667,0.021165
5.553333,-0.01841
5.565,0.007924
5.576667,0.005816
5.588333,-0.059757
5.6,-0.010653
5.611667,0.013434
5.623333,-0.01257
5.635,0.00353
5.646667,0.006776
5.658333,-0.053072
5.67,-0.006546
5.681666,0.010719
5.693333,-0.009319
5.705,0.00523
5.716667,0.001154
5.728333,-0.02051
5.74,-0.011529
5.751667,0.011328
5.763333,-0.010068
5.775,0.003541
5.786666,0.002409
5.798333,-0.037057
5.81,-0.035736
5.821667,0.03583
5.833333,-0.029288
5.845,0.017442
5.856667,-0.00503
5.868333,-0.031999
5.88,-0.02711
5.891666,0.02584
5.903333,-0.020597
5.915,0.008305
5.926667,0.004328
5.938333,-0.056449
5.95,-0.015996
5.961667,0.018124
5.973333,-0.013884
5.985,0.004222
5.996666,0.008314
6.008333,-0.048496
6.02,-0.001623
6.031667,0.003506
6.043333,-0.002826
6.055,0.000129
6.066667,-0.000118
6.078333,0.005796
6.09,0.012541
6.101666,-0.014735
6.113333,0.012997
6.125,-0.008089
6.136667,-0.00144
6.148333,0.035631
6.16,0.017202
6.171667,-0.018633
6.183333,0.016973
6.195,-0.007478
6.206666,-0.005761
6.218333,0.068642
6.23,-0.00111
6.241667,-0.004497
6.253333,0.006988
6.265,-0.001345
6.276667,-0.008779
6.288333,0.055014
6.3,-0.002134
6.311666,-0.003379
6.323333,0.005139
6.335,0.002157
6.346667,-0.012976
6.358333,0.074146
6.37,0.0129
